gvkey,cik,datadate,fyear,Company name,Net profit margin,Gross profit margin,Operating profit margin,2020 ROA(return on assets),2020 Total assets turnover,working capital,Current ratio,Quick ratio,Cash ratio,Financial leverage,Debt to total assets ratio
1722,7084,12/31/2019,2019,ARCHER-DANIELS-MIDLAND CO,0.02132826,0.079482183,0.041187206,null,null,7613,1.554317752,0.886631717,0.54696374,2.290556018,0.561720117
1722,7084,12/31/2020,2020,ARCHER-DANIELS-MIDLAND CO,0.027534768,0.082946158,0.041317691,0.035640298,2.358535513,9104,1.500714993,0.856506435,0.587944121,2.48595,0.595808443
1783,7623,11/30/2019,2019,ARTS WAY MFG INC,-0.062038534,0.215474682,-0.02153873,null,null,6.204,2.192389006,0.365558332,0.014222564,1.640410378,0.390396444
1783,7623,11/30/2020,2020,ARTS WAY MFG INC,-0.093846222,0.143603017,-0.128296667,-0.111843855,2.175419862,4.136,1.670884023,0.402757502,0.010381184,1.897950944,0.473115992
1820,8146,01/31/2020,2019,ASTRONOVA INC,0.013181362,0.412466466,0.065322303,null,null,33.384,2.247207382,0.979788546,0.240669481,1.634521891,0.388200302
1820,8146,01/31/2021,2020,ASTRONOVA INC,0.011065817,0.408013238,0.07253109,0.011119482,1.910920439,39.753,2.895888974,1.462275849,0.631724533,1.546175167,0.353242749
1823,8063,12/31/2019,2019,ASTRONICS CORP,0.067318319,0.262506115,0.105417095,null,null,222.441,2.84384118,1.635394562,0.40862069,2.012863341,0.503195284
1823,8063,12/31/2020,2020,ASTRONICS CORP,-0.230370065,0.253176067,0.033257924,-0.186820386,1.585713069,223.211,3.381272937,1.705726722,0.712981139,2.292202196,0.563738312
1864,744187,01/31/2020,2019,REX AMERICAN RESOURCES CORP,0.017766497,0.084902185,0.038834162,null,null,239.536,8.580493054,7.452799139,6.851577582,1.248112876,0.093697927
1864,744187,01/31/2021,2020,REX AMERICAN RESOURCES CORP,0.0080489,0.093247614,0.045879532,0.006260626,1.440950725,228.013,8.418193057,7.185802128,6.348602661,1.2457541,0.087957525
1878,769397,01/31/2020,2019,AUTODESK INC,0.065510185,0.927129463,0.15010842,null,null,-559.9,0.826074801,0.826074801,0.623446819,-44.42343638,1.02251064
1878,769397,01/31/2021,2020,AUTODESK INC,0.318752638,0.933357957,0.203646053,0.165966098,1.404267931,-555.5,0.829323747,0.829323747,0.631732571,7.539927499,0.86737273
1891,8670,06/30/2019,2019,AUTOMATIC DATA PROCESSING,0.161747277,0.458378012,0.24619053,null,null,1714.6,1.05255044,1.05255044,0.977788811,7.757125132,0.871086262
1891,8670,06/30/2020,2020,AUTOMATIC DATA PROCESSING,0.169056464,0.457518266,0.258619035,0.062976344,0.462227657,1437.5,1.047715308,1.047715308,0.966680608,6.808786204,0.853130944
1913,8818,12/31/2019,2019,AVERY DENNISON CORP,0.042941401,0.294012815,0.141200266,null,null,86.8,1.038512734,0.744342888,0.206495696,4.558803987,0.780644221
1913,8818,12/31/2020,2020,AVERY DENNISON CORP,0.079738937,0.305013268,0.152893925,0.091372311,2.885315785,490.2,1.254517134,0.882139148,0.240809969,4.097178261,0.755929585
1926,8947,02/29/2020,2019,AZZ INC,0.045425907,0.260705941,0.148166775,null,null,73.949,1.263526636,0.907730576,0.161838546,1.692762538,0.409249686
1926,8947,02/28/2021,2020,AZZ INC,0.047220404,0.268761987,0.150451117,0.03975545,2.764214543,189.642,2.66571805,1.849626702,0.214290733,1.598676062,0.374482408
1968,9092,12/31/2019,2019,BADGER METER INC,0.111102738,0.436613482,0.197861643,null,null,142.847,3.495274862,2.063793736,0.991859835,1.274339411,0
1968,9092,12/31/2020,2020,BADGER METER INC,0.115952757,0.449781926,0.207520256,0.105348222,1.926837551,155.652,3.387337229,2.135999018,1.1898342,1.296521332,0
1979,9326,12/31/2019,2019,BALCHEM CORP  -CL B,0.123769429,0.363214516,0.232820935,null,null,162.688,2.763402632,1.854072276,0.841217022,1.554031576,0.356512432
1979,9326,12/31/2020,2020,BALCHEM CORP  -CL B,0.12026394,0.355033227,0.234759339,0.072585245,2.636476724,172.46,2.826365061,2.078493667,1.038399627,1.407626839,0.289584447
1988,9389,12/31/2019,2019,BALL CORP,0.049328918,0.197925745,0.161582709,null,null,-693,0.875739645,0.647301417,0.354850278,5.886741268,0.82609447
1988,9389,12/31/2020,2020,BALL CORP,0.049656226,0.208641032,0.164077752,0.032051282,2.52,231,1.051980198,0.747524752,0.356435644,5.573129771,0.817170721
2049,9984,12/31/2019,2019,BARNES GROUP INC,0.106195486,0.434625563,0.230137387,null,null,421.515,2.229354721,1.550664236,0.467418155,2.155273241,0.536021707
2049,9984,12/31/2020,2020,BARNES GROUP INC,0.056363845,0.436510965,0.206022638,0.023680735,1.75044719,346.966,2.17464681,1.368875242,0.40581084,1.935539537,0.483348193
2080,10329,11/30/2019,2019,BASSETT FURNITURE INDS,-0.004264666,0.606619965,0.038698304,null,null,64.515,1.892681712,0.975273623,0.673368294,1.543437622,0.352095617
2080,10329,11/30/2020,2020,BASSETT FURNITURE INDS,-0.027006995,0.580122997,0.000717871,-0.025887532,2.401467531,42.307,1.357410176,0.893732418,0.616730449,2.547294817,0.607426674
2086,10456,12/31/2019,2019,BAXTER INTERNATIONAL INC,0.088100686,0.502112304,0.239922549,null,null,4273,2.322910217,1.811145511,1.224148607,2.308170515,0.565107459
2086,10456,12/31/2020,2020,BAXTER INTERNATIONAL INC,0.094405894,0.475713184,0.229503984,0.055047705,1.387825467,5078,2.523552355,1.948694869,1.325532553,2.30394752,0.564114092
2111,10795,09/30/2019,2019,BECTON DICKINSON & CO,0.071312898,0.602544824,0.290572585,null,null,1009,1.178426172,0.722369584,0.307515473,2.455761659,0.592755723
2111,10795,09/30/2020,2020,BECTON DICKINSON & CO,0.051060349,0.576911842,0.260209149,0.016181589,1.908462482,3133,1.536840302,1.066826594,0.655928718,2.272945335,0.560005184
2124,729580,12/31/2019,2019,BEL FUSE INC,-0.017755457,0.258255282,0.049578402,null,null,192.963,3.138852557,1.949777206,0.925480503,2.790325556,0.641618879
2124,729580,12/31/2020,2020,BEL FUSE INC,0.027470581,0.281797278,0.062582256,0.02819114,1.6621856,192.68,3.201151526,2.057245019,1.080424054,2.442779563,0.590630274
2220,12208,12/31/2019,2019,BIO-RAD LABORATORIES INC,0.760784787,0.598062257,0.168536103,null,null,1274.66,2.407694134,1.795866349,1.360003092,1.391621143,0.28141362
2220,12208,12/31/2020,2020,BIO-RAD LABORATORIES INC,1.514236645,0.613372803,0.213807867,0.293407776,1.174695245,1508.299,3.388302488,2.403001571,1.736651592,1.31302599,0.238400452
2240,720762,07/31/2019,2019,NON INVASIVE MONITOR,null,null,null,null,null,0.081,1.289285714,1.289285714,1.289285714,4.456790123,0.775623269
2240,720762,07/31/2020,2020,NON INVASIVE MONITOR,null,null,null,-0.791262136,0,-0.082,0.715277778,0.715277778,0.715277778,-2.512195122,1.398058252
2269,12659,04/30/2020,2019,BLOCK H & R INC,-0.00285106,0.415566803,0.133581971,null,null,1511.12,1.959066168,1.959066168,1.856456142,71.95910812,0.986103219
2269,12659,04/30/2021,2020,BLOCK H & R INC,0.170999772,0.506371875,0.271377425,0.159783132,2.008553742,536.645,1.4614003,1.4614003,1.004645428,10.36786502,0.903548127
2285,12927,12/31/2019,2019,BOEING CO,-0.007498408,0.176589875,0.092551109,null,null,4917,1.050528198,0.263143292,0.134988491,-15.50713705,1.062114125
2285,12927,12/31/2020,2020,BOEING CO,-0.202417485,-0.004756547,-0.129091653,-0.078042015,0.482201871,34362,1.393698442,0.457458753,0.342300642,-8.306180389,1.118808172
2312,315213,12/31/2019,2019,ROBERT HALF INTL INC,0.074810781,0.427164713,0.112934839,null,null,688.157,1.731543374,1.731543374,0.846240852,2.021021559,0.505200726
2312,315213,12/31/2020,2020,ROBERT HALF INTL INC,0.059948326,0.406124878,0.080025641,0.119759571,2.772504827,796.112,1.760646114,1.760646114,1.078298265,2.12183468,0.528709749
2316,13239,12/31/2019,2019,HEXION INC,0.831357439,0.166864256,0.081505631,null,null,364,1.570532915,1.05015674,0.463949843,3.856744186,0.740713941
2316,13239,12/31/2020,2020,HEXION INC,-0.091633466,0.186055777,0.084462151,-0.057471264,2.633788038,254,1.363376252,0.984263233,0.503576538,4.862697448,0.794352824
2337,1393066,12/31/2019,2019,RESOLUTE FOREST PRODUCTS INC,-0.016079371,0.119397879,0.072870339,null,null,556,2.584045584,1.096866097,0.102564103,2.938411669,0.659404302
2337,1393066,12/31/2020,2020,RESOLUTE FOREST PRODUCTS INC,0.003571429,0.159285714,0.110714286,0.002680965,3.111111111,520,2.368421053,1.152631579,0.421052632,3.450508788,0.709919571
2342,13573,06/30/2019,2019,BOWL AMERICA INC  -CL A,0.124861788,0.210778492,0.171956264,null,null,6.368,3.077650897,2.908646003,2.764763458,1.186831104,0.157420128
2342,13573,06/30/2020,2020,BOWL AMERICA INC  -CL A,0.022664642,0.132388505,0.073224228,0.014084507,2.023787844,7.188,5.498122653,5.193992491,4.714643304,1.270728783,0.213050012
2352,746598,07/31/2019,2019,BRADY CORP,0.113090566,0.519088093,0.160451301,null,null,331.334,2.369460001,1.873326582,1.219814421,1.36030015,0.264868125
2352,746598,07/31/2020,2020,BRADY CORP,0.103920377,0.510498946,0.162102249,0.098356538,2.122491402,323.56,2.740618007,2.010812963,1.224420081,1.323720385,0.244553448
2390,14177,10/31/2019,2019,BRIDGFORD FOODS CORP,0.034345949,0.34863469,0.068755463,null,null,32.828,2.646339017,1.324022066,0.226980943,1.856927983,0.461476153
2390,14177,10/31/2020,2020,BRIDGFORD FOODS CORP,0.036990453,0.328494216,0.053472748,0.047159058,2.879563636,42.547,2.623745373,1.505705454,0.233522879,2.179532886,0.541186092
2403,14272,12/31/2019,2019,BRISTOL-MYERS SQUIBB CO,0.131535666,0.744884299,0.326907631,null,null,11050,1.603693182,1.369154283,0.949300699,2.518392186,0.602151696
2403,14272,12/31/2020,2020,BRISTOL-MYERS SQUIBB CO,-0.212027847,0.819394139,0.391834047,-0.076088149,1.408253842,11112,1.582389937,1.473689727,1.028144654,3.132594786,0.68026941
2435,14693,04/30/2020,2019,BROWN FORMAN CORP,0.245911389,0.654475171,0.349687779,null,null,2385,3.710227273,1.795454545,1.147727273,2.919493671,0.657474853
2435,14693,04/30/2021,2020,BROWN FORMAN CORP,0.260907252,0.627275354,0.323894828,0.138454462,0.883584376,2999,4.266884532,2.359477124,1.539215686,2.455572289,0.592762956
2436,14707,01/31/2020,2019,CALERES INC,0.021501854,0.430832206,0.066041042,null,null,31.349,1.036840002,0.310115753,0.112254539,3.764543695,0.733055833
2436,14707,01/31/2021,2020,CALERES INC,-0.20741591,0.418024439,-0.002126524,-0.235191345,2.705327159,-122.953,0.8642167,0.325342984,0.147631884,9.323735187,0.890814922
2444,14930,12/31/2019,2019,BRUNSWICK CORP,-0.031885892,0.306615714,0.1541476,null,null,581.4,1.615628971,0.742587886,0.391253706,2.739949266,0.635029739
2444,14930,12/31/2020,2020,BRUNSWICK CORP,0.08572743,0.313858539,0.160092007,0.098843685,2.602514217,591.3,1.547905856,0.888343217,0.575518903,2.497086093,0.599533231
2448,1104657,12/31/2019,2019,MATERION CORP,0.042735764,0.244169175,0.104611515,null,null,369.547,4.0181885,2.463222803,1.199330284,1.396270041,0.283806162
2448,1104657,12/31/2020,2020,MATERION CORP,0.013144897,0.190034805,0.064429716,0.014616301,2.535078739,337.115,3.656875571,1.680440402,0.368635919,1.613501518,0.380229898
2504,746838,12/31/2019,2019,UNISYS CORP,-0.005867904,0.253650382,0.113605349,null,null,294,1.317049499,1.294726626,0.703763615,-1.978820926,1.490535144
2504,746838,12/31/2020,2020,UNISYS CORP,0.370661137,0.295956155,0.12067348,0.277225895,1.344820717,570.9,1.610522939,1.596192921,1.056357609,-7.58940583,1.115255364
2519,15847,04/30/2020,2019,BUTLER NATIONAL CORP,0.064277148,0.41702722,0.203761898,null,null,18.885,2.728287728,1.939873707,1.685091974,2.892871293,0.601719379
2519,15847,04/30/2021,2020,BUTLER NATIONAL CORP,0.023308393,0.389931685,0.153578399,0.014059909,1.783683417,16.901,1.962088006,1.474355325,1.338760175,2.882299709,0.594009085
2536,733269,03/31/2020,2019,LIVERAMP HOLDINGS INC,-0.327168052,0.693085671,-0.367919868,null,null,735.011,5.554479434,5.554479434,4.690647036,1.197126101,0.164666112
2536,733269,03/31/2021,2020,LIVERAMP HOLDINGS INC,-0.203753279,0.737570707,-0.194636432,-0.070066389,0.536536214,660.466,4.996792719,4.996792719,3.847623889,1.192135899,0.16116946
2573,356037,09/30/2019,2019,CSP INC,-0.004692579,0.233262924,-0.005185869,null,null,26.507,2.32356319,1.933190193,1.105907026,1.951130538,0.487476629
2573,356037,09/30/2020,2020,CSP INC,-0.023400709,0.285129384,-0.015729937,-0.026954982,1.485801534,28.612,3.204823919,2.797564923,1.602758727,1.81638112,0.449454749
2577,26058,12/31/2019,2019,CTS CORP,0.077070527,0.388474176,0.183409773,null,null,140.53,2.44953996,2.013873417,1.208575731,1.587669877,0.37014614
2577,26058,12/31/2020,2020,CTS CORP,0.081793872,0.390818882,0.173626275,0.055404609,1.818223135,128.299,2.222687074,1.78554683,1.013799413,1.47763889,0.323244666
2578,320121,12/31/2019,2019,TELOS CORP/MD,-0.040202741,0.359984424,0.062788127,null,null,2.942,1.078867651,1.026190923,0.277135887,-0.550476136,2.758507954
2578,320121,12/31/2020,2020,TELOS CORP/MD,0.009376546,0.376690363,0.063251388,0.009177606,1.248435267,105.168,3.700354337,3.615339188,2.821599137,1.446193668,0.308529679
2581,766792,12/31/2019,2019,CVD EQUIPMENT CORP,-0.322084797,0.195398789,-0.200641319,null,null,8.778,2.629175947,2.216592428,1.744060876,1.559616797,0.358816857
2581,766792,12/31/2020,2020,CVD EQUIPMENT CORP,-0.359042553,0.252423168,-0.167612293,-0.148402384,1.435114504,8.086,3.183045356,2.746220302,2.269978402,1.696758684,0.410641001
2593,16040,09/30/2019,2019,CABOT CORP,0.047048247,0.252322445,0.149535511,null,null,611,2.020033389,1.242070117,0.357262104,3.01002004,0.622503329
2593,16040,09/30/2020,2020,CABOT CORP,-0.091048202,0.254016832,0.144605968,-0.085580726,2.672801636,449,1.848771267,1.170132325,0.379962193,4.024602026,0.707299533
2596,16058,06/30/2019,2019,CACI INTL INC  -CL A,0.053266313,0.336641838,0.095273669,null,null,339.798,1.491234918,1.422966163,0.165466763,2.145142538,0.533803972
2596,16058,06/30/2020,2020,CACI INTL INC  -CL A,0.056202385,0.349472609,0.099544024,0.058002999,5.26762662,316.727,1.411783519,1.327058515,0.233361373,2.082716093,0.519833388
2615,730255,02/29/2020,2019,CALAMP CORP,-0.216614269,0.445140355,0.064879939,null,null,116.391,1.958147767,1.655385882,1.060423956,3.594899905,0.721828138
2615,730255,02/28/2021,2020,CALAMP CORP,-0.182473662,0.457005642,0.071934333,-0.129802561,1.440057306,107.043,1.998116462,1.777472143,1.187001725,4.562286375,0.780811655
2663,16732,07/31/2019,2019,CAMPBELL SOUP CO,0.02602689,0.373257679,0.191809547,null,null,-1418,0.581093058,0.326144756,0.156573117,11.92021759,0.915424399
2663,16732,07/31/2020,2020,CAMPBELL SOUP CO,0.187320216,0.377862156,0.192497986,0.131587456,3.644025157,-690,0.775609756,0.492357724,0.305365854,4.827155677,0.792353702
2710,16918,02/29/2020,2019,CONSTELLATION BRANDS,-0.001414275,0.551327381,0.362389884,null,null,1172.3,1.507094039,0.912924994,0.387273986,2.252196706,0.543453915
2710,16918,02/28/2021,2020,CONSTELLATION BRANDS,0.23192376,0.565636281,0.378634691,0.073713881,2.829660043,1775.4,2.398944134,1.381609014,0.523914585,1.993161212,0.486102093
2771,790051,12/31/2019,2019,CARLISLE COS INC,0.098262532,0.329848699,0.182641949,null,null,853,1.948832036,1.380867631,0.509899889,2.079612532,0.519141194
2771,790051,12/31/2020,2020,CARLISLE COS INC,0.075402808,0.334542542,0.17419674,0.05456498,1.921513602,1563.1,3.418910554,2.639740019,1.560817084,2.31169957,0.567417837
2787,17843,06/30/2019,2019,CARPENTER TECHNOLOGY CORP,0.070162171,0.23313167,0.148180825,null,null,820.2,2.971634615,1.078125,0.154807692,2.097098875,0.523150762
2787,17843,06/30/2020,2020,CARPENTER TECHNOLOGY CORP,0.000687726,0.2212645,0.129109165,0.000464799,1.722419648,814.2,2.800928998,1.198849812,0.552311436,2.232275022,0.552026525
2817,18230,12/31/2019,2019,CATERPILLAR INC,0.113252788,0.354200743,0.226784387,null,null,12572,1.472258743,1.049059014,0.376507269,5.377913353,0.813531669
2817,18230,12/31/2020,2020,CATERPILLAR INC,0.071811823,0.344543451,0.199458657,0.038276901,1.057875532,13747,1.534549131,1.091184819,0.438698137,5.108864392,0.803661713
2820,278166,03/31/2020,2019,CAVCO INDUSTRIES INC,0.070698661,0.224530832,0.090122757,null,null,344.083,2.999296929,2.339600934,1.813174745,1.333853973,0.250292745
2820,278166,03/31/2021,2020,CAVCO INDUSTRIES INC,0.069171906,0.219846379,0.08875855,0.08052463,1.6999888,414.695,2.749000439,2.195513361,1.755546089,1.392301504,0.281764763
2829,740664,10/31/2019,2019,R F INDUSTRIES LTD,0.063642115,0.292815183,0.092580208,null,null,27.58,5.536184211,4.180098684,2.175164474,1.195572892,0.163580902
2829,740664,10/31/2020,2020,R F INDUSTRIES LTD,-0.001881795,0.292259084,0.015193755,-0.001984224,1.394589341,24.201,4.631602641,3.343187275,2.492496999,1.273141218,0.214541179
