,gvkey,cik,datadate,fyear,Company name,Net profit margin,Gross profit margin,Operating profit margin,2020 ROA(return on assets),2020 Total assets turnover,working capital,Current ratio,Quick ratio,Cash ratio,Financial leverage,Debt to total assets ratio
177,3138,317540,12/31/2020,2020,COCA COLA CONSOLIDATED INC,0.034447913,0.38539872399999997,0.099826715,0.05352852599999999,5.882447544,204.17700000000002,1.315545699,0.966649152,0.20920471100000002,6.281701397999999,0.84080746
179,3144,21344,12/31/2020,2020,COCA-COLA CO,0.234658024,0.639213667,0.34406615399999996,0.08874404300000001,1.715904366,4639.0,1.317717965,1.094034655,0.878706938,4.523343178,0.75618585
181,3157,21510,09/30/2020,2020,COHERENT INC,-0.336972609,0.393588603,0.077342618,-0.22661554399999997,1.014306772,943.6060000000001,4.520156086,2.928127495,2.057812115,1.97093259,0.492625976
183,3158,21535,12/31/2020,2020,COHU INC,-0.021699447,0.455244989,0.119174789,-0.01265745,1.311230275,310.593,2.7803821089999996,1.9635431890000001,1.09271265,2.128384815,0.530160151
185,3170,21665,12/31/2020,2020,COLGATE-PALMOLIVE CO,0.163620909,0.635784105,0.270171817,0.16928392,3.796911019,-66.0,0.985013624,0.605131698,0.318119891,21.42664872,0.9308417090000001
187,3203,830524,08/31/2020,2020,CHASE CORP,0.130788553,0.44086812,0.236508374,0.098483407,1.4686874369999998,154.67700000000002,7.683532818,5.995851877000001,4.3938555930000005,1.145439774,0.12697286900000002
189,3246,22444,08/31/2020,2020,COMMERCIAL METALS,0.051036924000000004,0.20278623899999998,0.11684226,0.068476635,2.473455842,1468.84,2.970901548,2.131744096,0.9499760490000001,2.160557823,0.5371046279999999
191,3275,22701,12/31/2020,2020,COMMUNICATIONS SYSTEMS INC,-0.004039835,0.421927847,-0.024661781,-0.003095975,1.190670619,28.32,4.807475128,3.638209196,2.269965044,1.169723129,0.145096839
193,3278,723612,12/31/2020,2020,AVIS BUDGET GROUP INC,-0.12661977,0.37171418,0.242502777,-0.039001026,3.009470752,-258.0,0.8743302479999999,0.8743302479999999,0.559181685,-113.14838710000001,1.008837952
195,3336,1688568,03/31/2021,2020,DXC TECHNOLOGY CO,-0.008404309,0.216199447,0.119860116,-0.006761049,2.159965887,58.0,1.0071165640000002,1.0071165640000002,0.497177914,4.431530263,0.759143298
197,3342,23111,12/31/2020,2020,COMPUTER TASK GROUP INC,0.020866397,0.219254229,0.039987326000000004,0.043341106,3.235791688,51.993,1.8503230030000002,1.8503230030000002,0.573587374,2.2167957940000003,0.5488984579999999
199,3358,23197,07/31/2020,2020,COMTECH TELECOMMUN,0.011382892,0.38493307299999996,0.11111777699999999,0.007551253000000001,2.225628571,117.385,1.7349792130000001,1.219664145,0.42563489299999996,1.692424344,0.40913163799999996
201,3362,23217,05/31/2021,2020,CONAGRA BRANDS INC,0.116122918,0.322225898,0.209992222,0.058516102,4.139262055,-604.1,0.8172826809999999,0.292813502,0.052688887999999996,2.5954302019999997,0.611121123
203,3382,1549346,12/31/2020,2020,SHUTTERSTOCK INC,0.10764587800000001,0.66308877,0.189931992,0.098357555,1.3631709159999998,232.141,1.903521985,1.903521985,1.732867835,1.729321562,0.421738546
206,3502,24491,12/31/2020,2020,COOPER TIRE & RUBBER CO,0.056638163,0.256502189,0.15950821,0.048051655,1.593382695,934.105,2.441275401,1.843142368,1.047936307,2.139516984,0.5253049479999999
208,3504,711404,10/31/2020,2020,COOPER COS INC (THE),0.09807067300000001,0.730099963,0.296145461,0.035384045,1.907785277,269.8,1.26861808,0.700716846,0.267224213,1.76162213,0.43231168799999997
210,3505,24545,12/31/2020,2020,MOLSON COORS BEVERAGE CO,-0.09799366,0.45598546100000004,0.227058228,-0.034722349,4.003762196,-1490.8,0.618682218,0.44876713700000004,0.273020258,2.210359887,0.53820739
212,3532,24741,12/31/2020,2020,CORNING INC,0.044880785,0.480189341,0.258765778,0.016636881,1.425287356,4237.0,2.12476772,1.4775683569999998,0.91133528,2.808706763,0.5630219329999999
214,3580,25445,12/31/2020,2020,CRANE CO,0.061629609,0.385372331,0.147672716,0.039443004,1.8662387999999999,517.1,1.4893999619999998,1.074673481,0.588396744,3.001438943,0.666347055
216,3619,1219601,12/31/2020,2020,CROWN HOLDINGS INC,0.050021598,0.20673866100000002,0.153693305,0.034733053,2.370468974,622.0,1.145975123,0.753344285,0.32621450399999996,7.584167425,0.843791242
218,3622,25895,03/31/2021,2020,CROWN CRAFTS INC,0.076815219,0.31384215,0.144131171,0.104696808,1.9089462259999999,28.524,3.20330604,1.632550595,0.138807354,1.3873641469999998,0.279208705
220,3639,26076,09/30/2020,2020,CUBIC CORP,-0.0021819020000000003,0.329053979,0.120326371,-0.001385841,1.934589568,176.28799999999998,1.300429799,1.083568797,0.323185966,2.419105578,0.574833891
222,3647,723603,04/30/2021,2020,CULP INC,0.010736688000000001,0.19035766699999998,0.06448685400000001,0.015031764,2.092914453,81.975,2.3387607790000002,1.4255617980000002,0.809446041,1.6594577000000001,0.39739349799999996
224,3650,26172,12/31/2020,2020,CUMMINS INC,0.090303367,0.2796931,0.126697289,0.07907531799999999,1.665209717,5562.0,1.877979479,1.337332281,0.70718232,2.80625155,0.602678571
226,3662,26324,12/31/2020,2020,CURTISS-WRIGHT CORP,0.084217358,0.404089597,0.200169696,0.050080894,1.8383240159999998,490.44699999999995,1.60520844,1.075974516,0.349500294,2.249604212,0.555477361
228,3691,109657,12/31/2020,2020,GT BIOPHARMA INC,,,,-4.998410175,0.0,-29.433000000000003,0.16130962599999998,0.16130962599999998,0.16130962599999998,-0.19342604300000002,6.199258082
230,3734,26780,12/31/2020,2020,DANA INC,-0.0043625109999999995,0.13692654099999998,0.077680833,-0.00420282,2.161192214,1347.0,1.693972179,1.102009274,0.364245234,4.195676906,0.726952278
232,3735,313616,12/31/2020,2020,DANAHER CORP,0.16361515,0.659980255,0.293663615,0.047872270999999994,1.614548616,6400.0,1.864631181,1.554985139,0.905160767,2.08671708,0.47772482
234,3761,351998,12/31/2020,2020,DATA I/O CORP,-0.195001968,0.572461629,-0.079250295,-0.154892154,0.8743225809999999,18.059,4.478905798,3.4636871510000002,2.983240223,1.30312134,0.23261175399999998
236,3835,315189,10/31/2020,2020,DEERE & CO,0.07740574,0.35531795200000005,0.217754643,0.036635548999999996,,0.0,,,,5.804359589,0.827622485
238,3863,27996,12/31/2020,2020,DELUXE CORP,0.0049185240000000005,0.659079474,0.190189085,0.0046979429999999996,3.5346850069999998,94.811,1.23022437,1.1327788840000002,0.69184838,3.467492884,0.711531989
240,3905,730464,06/30/2020,2020,ADTALEM GLOBAL EDUCATION INC,-0.081115892,0.566895849,0.20037908699999998,-0.038288912,1.518551719,346.783,2.002312252,2.002312252,1.750733418,1.7007412119999998,0.41074139200000004
242,3946,28823,12/31/2020,2020,DIEBOLD NIXDORF INC,-0.068959332,0.32547472,0.112138995,-0.073576858,2.101060679,207.8,1.125977569,0.823946651,0.431767202,-4.421956233,1.2221523490000001
244,3962,722313,12/31/2020,2020,NORTECH SYSTEMS INC,-0.014850249,0.10228036800000001,0.001258333,-0.026824444,2.536881351,21.500999999999998,2.100583538,1.3882063880000002,0.286445536,3.1207494039999997,0.6752264290000001
246,3969,29002,12/31/2020,2020,DIODES INC,0.079797269,0.425615535,0.20380079999999998,0.049552982999999995,1.200420513,514.225,2.008755066,1.40639161,0.778528019,2.0537621130000003,0.486665788
248,3980,1744489,09/30/2020,2020,DISNEY (WALT) CO,-0.043800085999999995,0.328928855,0.139765706,-0.014209943999999999,1.854926101,8623.0,1.3238320559999999,1.182852636,0.705610635,2.411363555,0.516187131
250,4001,29332,12/31/2020,2020,DIXIE GROUP INC,-0.029144867,0.275315805,0.03561447,-0.039541715,2.369583968,78.869,2.448147332,0.8800998859999999,0.18758033100000002,3.6504836110000003,0.726063693
252,4036,29644,07/31/2020,2020,DONALDSON CO INC,0.099281465,0.369968323,0.164644982,0.114497015,2.360353789,689.9,2.6959193710000005,1.9026548669999999,0.754178958,2.273933745,0.552793371
254,4040,29669,12/31/2020,2020,DONNELLEY (R R) & SONS CO,0.020665925,0.20500178300000002,0.07964249,0.031460602000000004,2.7133667310000003,466.4,1.3614943419999999,1.1273445979999999,0.34514028799999996,-12.14939853,1.077868983
256,4058,29905,12/31/2020,2020,DOVER CORP,0.10225546699999999,0.414731379,0.188538487,0.074677172,2.551845286,880.3889999999999,1.506320458,1.025641276,0.36297488299999997,2.703097343,0.6300540179999999
258,4060,1666700,12/31/2020,2020,DUPONT DE NEMOURS INC,-0.144678139,0.384860519,0.233122518,-0.041619655,1.875241335,6178.0,2.314747819,1.5218131519999998,0.7661204509999999,1.8414710159999998,0.44897326
260,4066,29989,12/31/2020,2020,OMNICOM GROUP,0.071778363,0.17864870800000002,0.15127817699999999,0.034195145,0.844837429,65.0,1.0041867690000001,0.933256469,0.429981127,8.963558553,0.863038572
262,4091,30305,12/31/2020,2020,DUCOMMUN INC,0.046385909,0.261929179,0.119136771,0.034840992,1.5329405969999998,267.382,2.8710864789999997,1.918027739,0.434122685,2.5425464730000003,0.6066935210000001
264,4108,30625,12/31/2020,2020,FLOWSERVE CORP,0.031202205,0.33901302899999997,0.121946529,0.02188769,1.283645505,1762.7,2.544016334,1.959565815,1.056301806,3.067687752,0.668314744
266,4124,720875,06/30/2020,2020,DYNATRONICS CORP,-0.064127769,0.315246494,-0.023479188999999998,-0.091100117,3.322488336,8.397,2.093644178,1.003386299,0.365980724,3.37941573,0.470794765
